NELEC	10
ENUC	11.406077
NBASIS	13

OEI
2.489683	
6 4 0 0 0.1510918
6 4 1 0 -0.0001101
6 4 1 1 0.0880701
6 4 2 0 -0.0031840
6 4 2 1 -0.0124000
6 4 2 2 0.0684590
6 4 3 0 -0.0007067
6 4 3 1 0.0046182
6 4 3 2 0.0027195
6 4 3 3 0.0838053
6 4 4 0 0.0024417
6 4 4 1 0.0058878
6 4 4 2 0.0200234
6 4 4 3 -0.0045685
6 4 4 4 0.0767999
6 4 5 0 -0.0031849
6 4 5 1 -0.0053423
6 4 5 2 -0.0152150
6 4 5 3 -0.0019342
6 4 5 4 -0.0004664
6 4 5 5 -0.0369132
6 4 6 0 0.0013627
6 4 6 1 0.0575985
6 4 6 2 0.0039085
6 4 6 3 -0.0216722
6 4 6 4 0.0014042
6 4 6 5 0.0125448
6 4 6 6 -0.1242748
6 5 0 0 0.0014926
6 5 1 0 -0.0004884
6 5 1 1 -0.0100808
6 5 2 0 -0.0008568
6 5 2 1 -0.0126184
6 5 2 2 -0.0102959
6 5 3 0 0.0007619
6 5 3 1 0.0176810
6 5 3 2 0.0142992
6 5 3 3 -0.0215573
6 5 4 0 -0.0014361
6 5 4 1 -0.0105376
6 5 4 2 -0.0052640
6 5 4 3 0.0091521
6 5 4 4 -0.0031300
6 5 5 0 0.0007061
6 5 5 1 -0.0032373
6 5 5 2 -0.0068884
6 5 5 3 -0.0001828
6 5 5 4 -0.0038303
6 5 5 5 -0.0198576
6 5 6 0 -0.0019407
6 5 6 1 0.0218540
6 5 6 2 0.0172206
6 5 6 3 -0.0294251
6 5 6 4 0.0125448
6 5 6 5 0.0080384
6 5 6 6 -0.0513139
6 6 0 0 1.3490090
6 6 1 0 -0.0218488
6 6 1 1 0.9383557
6 6 2 0 0.0190341
6 6 2 1 0.1473087
6 6 2 2 0.5584554
6 6 3 0 0.0003753
6 6 3 1 -0.0794740
6 6 3 2 -0.0783896
6 6 3 3 0.6715262
6 6 4 0 -0.0013395
6 6 4 1 -0.0308563
6 6 4 2 0.0463832
6 6 4 3 -0.0469483
6 6 4 4 0.5665209
6 6 5 0 0.0107433
6 6 5 1 0.0847164
6 6 5 2 0.0024791
6 6 5 3 -0.0647888
6 6 5 4 -0.0045100
6 6 5 5 0.5772334
6 6 6 0 -0.0106992
6 6 6 1 -0.0896431
6 6 6 2 -0.1700215
6 6 6 3 0.2312953
6 6 6 4 -0.1242748
6 6 6 5 -0.0513139
6 6 6 6 1.2914946
7 0 0 0 0.1101171
7 0 1 0 -0.0142315
7 0 1 1 0.0106859
7 0 2 0 0.0021816
7 0 2 1 0.0006628
7 0 2 2 0.0042816
7 0 3 0 0.0007082
7 0 3 1 0.0004144
7 0 3 2 0.0023599
7 0 3 3 0.0034282
7 0 4 0 0.0025540
7 0 4 1 -0.0017001
7 0 4 2 -0.0000946
7 0 4 3 -0.0002049
7 0 4 4 0.0021571
7 0 5 0 -0.0001027
7 0 5 1 -0.0003659
7 0 5 2 0.0027888
7 0 5 3 0.0009170
7 0 5 4 -0.0006560
7 0 5 5 0.0095036
7 0 6 0 -0.0081141
7 0 6 1 0.0030041
7 0 6 2 -0.0011837
7 0 6 3 0.0000126
7 0 6 4 -0.0013567
7 0 6 5 0.0006238
7 0 6 6 0.0089036
7 0 7 0 0.0045584
7 0 7 1 0.0032592
7 0 7 2 -0.0022297
7 0 7 3 0.0032905
7 0 7 4 0.0013492
7 0 7 5 -0.0043228
7 0 7 6 0.0006292
7 0 7 7 0.0083364
7 1 0 0 0.0140731
7 1 1 0 0.0027039
7 1 1 1 0.0459103
7 1 2 0 -0.0000768
7 1 2 1 0.0166731
7 1 2 2 -0.0077505
7 1 3 0 0.0001203
7 1 3 1 0.0451621
7 1 3 2 0.0340629
7 1 3 3 0.0381789
7 1 4 0 -0.0008947
7 1 4 1 0.0038586
7 1 4 2 0.0116113
7 1 4 3 0.0187170
7 1 4 4 -0.0230291
7 1 5 0 -0.0007264
7 1 5 1 -0.0268274
7 1 5 2 -0.0149992
7 1 5 3 -0.0198057
7 1 5 4 -0.0025860
7 1 5 5 0.0491213
7 1 6 0 0.0023253
7 1 6 1 0.0206774
7 1 6 2 -0.0178155
7 1 6 3 -0.0299479
7 1 6 4 -0.0176679
7 1 6 5 0.0179043
7 1 6 6 -0.0751843
7 1 7 0 0.0032592
7 1 7 1 0.0987743
7 1 7 2 0.0500340
7 1 7 3 0.0996352
7 1 7 4 0.0246338
7 1 7 5 -0.0348680
7 1 7 6 -0.0689558
7 1 7 7 0.1550895
7 2 0 0 -0.0842015
7 2 1 0 0.0009167
7 2 1 1 -0.0365942
7 2 2 0 0.0008139
7 2 2 1 -0.0005345
7 2 2 2 -0.0272366
7 2 3 0 0.0026008
7 2 3 1 0.0356458
7 2 3 2 0.0109519
7 2 3 3 -0.0276357
7 2 4 0 0.0002385
7 2 4 1 0.0068759
7 2 4 2 -0.0103911
7 2 4 3 0.0107561
7 2 4 4 -0.0354552
7 2 5 0 0.0014056
7 2 5 1 -0.0121269
7 2 5 2 -0.0025573
7 2 5 3 -0.0062531
7 2 5 4 -0.0032539
7 2 5 5 0.0515240
7 2 6 0 -0.0008454
7 2 6 1 -0.0107029
7 2 6 2 0.0108633
7 2 6 3 -0.0274904
7 2 6 4 0.0073998
7 2 6 5 0.0138467
7 2 6 6 -0.0442201
7 2 7 0 -0.0022297
7 2 7 1 0.0500340
7 2 7 2 0.0388894
7 2 7 3 0.0439183
7 2 7 4 0.0098813
7 2 7 5 -0.0242026
7 2 7 6 -0.0298368
7 2 7 7 0.1278269
7 3 0 0 -0.1782080
7 3 1 0 0.0012375
7 3 1 1 -0.0609352
7 3 2 0 0.0078130
7 3 2 1 0.0497791
7 3 2 2 -0.0973598
7 3 3 0 0.0007592
7 3 3 1 0.0258840
7 3 3 2 0.0129559
7 3 3 3 -0.1003526
7 3 4 0 -0.0025258
7 3 4 1 0.0082653
7 3 4 2 -0.0100376
7 3 4 3 0.0041140
7 3 4 4 -0.1150273
7 3 5 0 0.0059103
7 3 5 1 -0.0059490
7 3 5 2 0.0073944
7 3 5 3 -0.0290271
7 3 5 4 -0.0038684
7 3 5 5 0.1558223
7 3 6 0 0.0004143
7 3 6 1 -0.0880950
7 3 6 2 -0.0308355
7 3 6 3 0.0377932
7 3 6 4 -0.0104712
7 3 6 5 -0.0028967
7 3 6 6 0.1820002
7 3 7 0 0.0032905
7 3 7 1 0.0996352
7 3 7 2 0.0439183
7 3 7 3 0.1561113
7 3 7 4 0.0063133
7 3 7 5 -0.0760392
7 3 7 6 0.0185761
7 3 7 7 0.3821891
7 4 0 0 -0.0840162
7 4 1 0 0.0002308
7 4 1 1 -0.0532996
7 4 2 0 0.0013853
7 4 2 1 0.0034341
7 4 2 2 -0.0352338
7 4 3 0 -0.0004685
7 4 3 1 0.0076107
7 4 3 2 0.0054857
7 4 3 3 -0.0453995
7 4 4 0 -0.0019527
7 4 4 1 -0.0070379
7 4 4 2 -0.0116743
7 4 4 3 -0.0138575
7 4 4 4 -0.0337132
7 4 5 0 0.0010958
7 4 5 1 -0.0042694
7 4 5 2 0.0021673
7 4 5 3 0.0003812
7 4 5 4 -0.0009242
7 4 5 5 0.0221638
7 4 6 0 -0.0003029
7 4 6 1 -0.0146241
7 4 6 2 0.0151847
7 4 6 3 -0.0142616
7 4 6 4 0.0099547
7 4 6 5 0.0038079
7 4 6 6 -0.0069245
7 4 7 0 0.0013492
7 4 7 1 0.0246338
7 4 7 2 0.0098813
7 4 7 3 0.0063133
7 4 7 4 0.0096797
7 4 7 5 -0.0147122
7 4 7 6 -0.0039900
7 4 7 7 0.0938825
7 5 0 0 -0.2598280
7 5 1 0 0.0036652
7 5 1 1 -0.1722565
7 5 2 0 -0.0023796
7 5 2 1 -0.0398033
7 5 2 2 -0.0591272
7 5 3 0 0.0011744
7 5 3 1 -0.0090430
7 5 3 2 -0.0055955
7 5 3 3 -0.1304195
7 5 4 0 0.0009659
7 5 4 1 0.0093489
7 5 4 2 -0.0210042
7 5 4 3 -0.0043324
7 5 4 4 -0.0695696
7 5 5 0 -0.0002688
7 5 5 1 0.0032622
7 5 5 2 0.0120620
7 5 5 3 0.0454825
7 5 5 4 0.0184012
7 5 5 5 0.2615285
7 5 6 0 0.0017297
7 5 6 1 -0.0022106
7 5 6 2 0.0321582
7 5 6 3 -0.0144724
7 5 6 4 0.0328388
7 5 6 5 -0.0107277
7 5 6 6 -0.1221043
7 5 7 0 -0.0043228
7 5 7 1 -0.0348680
7 5 7 2 -0.0242026
7 5 7 3 -0.0760392
7 5 7 4 -0.0147122
7 5 7 5 0.1183226
7 5 7 6 0.0189857
7 5 7 7 -0.1575366
7 6 0 0 0.1650720
7 6 1 0 -0.0000841
7 6 1 1 0.1292269
7 6 2 0 -0.0004898
7 6 2 1 0.0200299
7 6 2 2 0.0450760
7 6 3 0 -0.0010769
7 6 3 1 -0.0556906
7 6 3 2 -0.0487143
7 6 3 3 0.0934519
7 6 4 0 -0.0011847
7 6 4 1 0.0008401
7 6 4 2 0.0207017
7 6 4 3 -0.0297985
7 6 4 4 0.0245122
7 6 5 0 0.0002066
