-------- parallel information --------
 # of process = 1
 # of threads = 24
 Buffer size  = 4096 (MB)
-------- input information -----------
 Input   = ./samples/O2.inp
--------------------------------------
nat = 2
=============== INPUT DATA (A) ================
 O     0.00000     0.00000     0.00000
 O     0.00000     0.00000     1.20800
===============================================
nelec = 16,  nocc = 8
nat=2, ncs=6, nao=10, nps=18
S-TYPE: [  0,   4)
P-TYPE: [  4,   6)
== allocd memory size in ofmo-scf.c =      0.005 MB
ncspair = 21, npspair = 189 
******************** cutoff results **********************
      :     NCS PAIR                   NPS PAIR           
cstype: surved/ total (  rate)     surved/   total (  rate)
 (S|S):     10/    10 (100.00)         87/      90 ( 96.67)
 (P|S):      8/     8 (100.00)         72/      72 (100.00)
 (P|P):      3/     3 (100.00)         27/      27 (100.00)
**********************************************************
etime (buffer int2e) =  0.009054
Enuc =     28.0358807544
scfd scfe eps_ps4 eps_sch eps_eri: 1.00e-05 1.00e-08 1.00e-20 1.00e-12 1.00e-15
Allocated memory in ofmo_diis =    0.008 MB
g_incore: 100000
AO : 9 6 6 0 | -0.011725
AO : 7 4 6 1 | 0.016892
AO : 7 6 4 1 | 0.016892
AO : 8 5 6 1 | 0.016892
AO : 8 6 5 1 | 0.016892
AO : 9 4 4 1 | -0.038896
AO : 9 5 5 1 | -0.038896
AO : 9 6 6 1 | -0.078488
AO : 7 4 6 2 | 0.003936
AO : 7 6 4 2 | 0.000141
AO : 8 5 6 2 | 0.003936
AO : 8 6 5 2 | 0.000141
AO : 9 4 4 2 | -0.000046
AO : 9 5 5 2 | -0.000046
AO : 9 6 6 2 | -0.010576
AO : 7 4 6 3 | 0.034587
AO : 7 6 4 3 | 0.007395
AO : 8 5 6 3 | 0.034587
AO : 8 6 5 3 | 0.007395
AO : 9 4 4 3 | -0.008821
AO : 9 5 5 3 | -0.008821
AO : 9 6 6 3 | -0.099496
AO : 9 0 7 4 | -0.003936
AO : 7 6 7 0 | 0.000046
AO : 9 0 8 5 | -0.003936
AO : 8 6 8 0 | 0.000046
AO : 9 4 7 0 | -0.000141
AO : 9 5 8 0 | -0.000141
AO : 9 6 9 0 | 0.010576
AO : 9 1 7 4 | -0.034587
AO : 7 6 7 1 | 0.008821
AO : 9 1 8 5 | -0.034587
AO : 8 6 8 1 | 0.008821
AO : 9 4 7 1 | -0.007395
AO : 9 5 8 1 | -0.007395
AO : 9 6 9 1 | 0.099496
AO : 9 2 7 4 | -0.001801
AO : 7 6 7 2 | 0.006914
AO : 9 2 8 5 | -0.001801
AO : 8 6 8 2 | 0.006914
AO : 9 4 7 2 | -0.001801
AO : 9 5 8 2 | -0.001801
AO : 9 6 9 2 | 0.011725
AO : 9 3 7 4 | -0.016892
AO : 7 6 7 3 | 0.038896
AO : 9 3 8 5 | -0.016892
AO : 8 6 8 3 | 0.038896
AO : 9 4 7 3 | -0.016892
AO : 9 5 8 3 | -0.016892
AO : 9 6 9 3 | 0.078488
AO : 7 1 4 0 | 0.002219
AO : 8 1 5 0 | 0.002219
AO : 9 1 6 0 | -0.006676
AO : 7 1 4 1 | 0.018218
AO : 8 1 5 1 | 0.018218
AO : 9 1 6 1 | -0.049064
AO : 7 1 4 2 | 0.000093
AO : 8 1 5 2 | 0.000093
AO : 9 1 6 2 | -0.008837
AO : 7 1 4 3 | 0.006194
AO : 8 1 5 3 | 0.006194
AO : 9 1 6 3 | -0.086012
AO : 7 1 7 0 | 0.000050
AO : 8 1 8 0 | 0.000050
AO : 9 1 9 0 | 0.011594
AO : 7 1 7 1 | 0.006793
AO : 8 1 8 1 | 0.006793
AO : 9 1 9 1 | 0.091253
AO : 2 1 0 0 | 0.010490
AO : 2 1 1 0 | 0.002483
AO : 2 1 1 1 | 0.010435
AO : 2 1 2 1 | 0.001305
