NMONOMER	1
NELEC	8
ENUC	7.676927
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-20.939638
ENERGIES
-6.469568
-0.101776
0.242977
0.505602
1.215488
1.668736
1.787359
849737.159751
965066.822864
996478.652526
1070620.970604
1118094.604900

OEI
-13.279093	
6 4 1 1 -0.0005389
6 4 2 0 0.0000000
6 4 2 1 0.0000000
6 4 2 2 -0.0243852
6 4 3 0 0.0024069
6 4 3 1 0.0401255
6 4 3 2 -0.0000000
6 4 3 3 0.0106525
6 4 4 0 -0.0025018
6 4 4 1 0.0236092
6 4 4 2 -0.0000000
6 4 4 3 0.0073542
6 4 4 4 0.0025419
6 4 5 0 -0.0000000
6 4 5 1 0.0000000
6 4 5 2 -0.0214407
6 4 5 3 -0.0000000
6 4 5 4 -0.0000000
6 4 5 5 -0.0080691
6 4 6 0 0.0002585
6 4 6 1 0.0041299
6 4 6 2 0.0000000
6 4 6 3 -0.0035850
6 4 6 4 0.0391746
6 4 6 5 0.0000000
6 4 6 6 0.0049719
6 5 0 0 0.0000000
6 5 1 0 0.0000000
6 5 1 1 0.0000000
6 5 2 0 0.0090729
6 5 2 1 0.0693906
6 5 2 2 -0.0000000
6 5 3 0 0.0000000
6 5 3 1 0.0000000
6 5 3 2 -0.0440889
6 5 3 3 0.0000000
6 5 4 0 -0.0000000
6 5 4 1 0.0000000
6 5 4 2 -0.0429544
6 5 4 3 0.0000000
6 5 4 4 0.0000000
6 5 5 0 -0.0181267
6 5 5 1 0.0165982
6 5 5 2 -0.0000000
6 5 5 3 -0.0047346
6 5 5 4 -0.0403258
6 5 5 5 0.0000000
6 5 6 0 0.0000000
6 5 6 1 -0.0000000
6 5 6 2 -0.0027893
6 5 6 3 0.0000000
6 5 6 4 0.0000000
6 5 6 5 0.0558702
6 5 6 6 0.0000000
6 6 0 0 0.9408908
6 6 1 0 -0.0046092
6 6 1 1 0.5502924
6 6 2 0 0.0000000
6 6 2 1 -0.0000000
6 6 2 2 0.5089604
6 6 3 0 0.0292727
6 6 3 1 0.0159483
6 6 3 2 0.0000000
6 6 3 3 0.5280975
6 6 4 0 -0.0305844
6 6 4 1 0.0228230
6 6 4 2 0.0000000
6 6 4 3 -0.0316828
6 6 4 4 0.5184992
6 6 5 0 0.0000000
6 6 5 1 -0.0000000
6 6 5 2 -0.0704035
6 6 5 3 0.0000000
6 6 5 4 0.0000000
6 6 5 5 0.5694024
6 6 6 0 0.0032054
6 6 6 1 -0.1269141
6 6 6 2 0.0000000
6 6 6 3 -0.0011727
6 6 6 4 0.0049719
6 6 6 5 0.0000000
6 6 6 6 0.7188739
7 0 0 0 0.0828949
7 0 1 0 -0.0034410
7 0 1 1 0.0049153
7 0 2 0 0.0000000
7 0 2 1 -0.0000000
7 0 2 2 0.0011962
7 0 3 0 0.0041591
7 0 3 1 -0.0032740
7 0 3 2 0.0000000
7 0 3 3 0.0047833
7 0 4 0 -0.0048545
7 0 4 1 0.0036292
7 0 4 2 -0.0000000
7 0 4 3 -0.0023557
7 0 4 4 0.0045012
7 0 5 0 0.0000000
7 0 5 1 -0.0000000
7 0 5 2 0.0019661
7 0 5 3 0.0000000
7 0 5 4 -0.0000000
7 0 5 5 -0.0019214
7 0 6 0 0.0094733
7 0 6 1 -0.0045304
7 0 6 2 0.0000000
7 0 6 3 0.0074276
7 0 6 4 -0.0071601
7 0 6 5 0.0000000
7 0 6 6 0.0094558
7 0 7 0 0.0118990
7 0 7 1 0.0003526
7 0 7 2 -0.0000000
7 0 7 3 -0.0025962
7 0 7 4 0.0015322
7 0 7 5 -0.0000000
7 0 7 6 -0.0039704
7 0 7 7 -0.0065476
7 1 0 0 0.0078850
7 1 1 0 0.0000483
7 1 1 1 -0.0040740
7 1 2 0 -0.0000000
7 1 2 1 -0.0000000
7 1 2 2 -0.0066943
7 1 3 0 -0.0016353
7 1 3 1 0.0007556
7 1 3 2 0.0000000
7 1 3 3 0.0035750
7 1 4 0 0.0016572
7 1 4 1 0.0056673
7 1 4 2 -0.0000000
7 1 4 3 -0.0079259
7 1 4 4 0.0031922
7 1 5 0 0.0000000
7 1 5 1 -0.0000000
7 1 5 2 -0.0046046
7 1 5 3 -0.0000000
7 1 5 4 0.0000000
7 1 5 5 -0.0016570
7 1 6 0 0.0006933
7 1 6 1 -0.0024085
7 1 6 2 0.0000000
7 1 6 3 0.0035925
7 1 6 4 0.0008315
7 1 6 5 -0.0000000
7 1 6 6 0.0010542
7 1 7 0 0.0003526
7 1 7 1 0.0109807
7 1 7 2 0.0000000
7 1 7 3 0.0091652
7 1 7 4 0.0073043
7 1 7 5 -0.0000000
7 1 7 6 0.0015544
7 1 7 7 0.0060614
7 2 0 0 0.0000000
7 2 1 0 -0.0000000
7 2 1 1 -0.0000000
7 2 2 0 -0.0032810
7 2 2 1 -0.0186423
7 2 2 2 0.0000000
7 2 3 0 0.0000000
7 2 3 1 0.0000000
7 2 3 2 0.0140784
7 2 3 3 -0.0000000
7 2 4 0 -0.0000000
7 2 4 1 -0.0000000
7 2 4 2 0.0104257
7 2 4 3 0.0000000
7 2 4 4 -0.0000000
7 2 5 0 0.0070363
7 2 5 1 -0.0025043
7 2 5 2 -0.0000000
7 2 5 3 -0.0043791
7 2 5 4 0.0132696
7 2 5 5 -0.0000000
7 2 6 0 0.0000000
7 2 6 1 0.0000000
7 2 6 2 0.0016715
7 2 6 3 -0.0000000
7 2 6 4 -0.0000000
7 2 6 5 -0.0136867
7 2 6 6 0.0000000
7 2 7 0 -0.0000000
7 2 7 1 0.0000000
7 2 7 2 0.0121148
7 2 7 3 -0.0000000
7 2 7 4 -0.0000000
7 2 7 5 -0.0142707
7 2 7 6 0.0000000
7 2 7 7 -0.0000000
7 3 0 0 0.0066480
7 3 1 0 -0.0031792
7 3 1 1 -0.0205112
7 3 2 0 0.0000000
7 3 2 1 0.0000000
7 3 2 2 -0.0034161
7 3 3 0 -0.0005814
7 3 3 1 -0.0053562
7 3 3 2 0.0000000
7 3 3 3 -0.0054151
7 3 4 0 0.0009242
7 3 4 1 -0.0087801
7 3 4 2 0.0000000
7 3 4 3 -0.0176054
7 3 4 4 -0.0004211
7 3 5 0 0.0000000
7 3 5 1 -0.0000000
7 3 5 2 -0.0107765
7 3 5 3 -0.0000000
7 3 5 4 -0.0000000
