NMONOMER	1
NELEC	8
ENUC	7.676927
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-36.867870
ENERGIES
-10.964307
-0.926459
-0.540445
-0.325926
0.485928
0.669653
0.711423
849736.433838
965066.312716
996478.089859
1070621.007972
1118093.563285

OEI
-18.588748	
7 1 2 1 0.0000000
7 1 2 2 0.0056249
7 1 3 0 -0.0032839
7 1 3 1 -0.0073731
7 1 3 2 0.0000000
7 1 3 3 -0.0112086
7 1 4 0 -0.0014408
7 1 4 1 -0.0071542
7 1 4 2 0.0000000
7 1 4 3 -0.0075947
7 1 4 4 0.0014556
7 1 5 0 0.0006016
7 1 5 1 -0.0025108
7 1 5 2 -0.0000000
7 1 5 3 -0.0049722
7 1 5 4 0.0011375
7 1 5 5 -0.0000138
7 1 6 0 0.0000000
7 1 6 1 -0.0000000
7 1 6 2 0.0027543
7 1 6 3 -0.0000000
7 1 6 4 0.0000000
7 1 6 5 -0.0000000
7 1 6 6 0.0047744
7 1 7 0 0.0015320
7 1 7 1 0.0101311
7 1 7 2 0.0000000
7 1 7 3 -0.0045931
7 1 7 4 0.0068692
7 1 7 5 0.0005309
7 1 7 6 -0.0000000
7 1 7 7 -0.0021584
7 2 0 0 -0.0000000
7 2 1 0 0.0000000
7 2 1 1 0.0000000
7 2 2 0 0.0050729
7 2 2 1 0.0224689
7 2 2 2 -0.0000000
7 2 3 0 -0.0000000
7 2 3 1 0.0000000
7 2 3 2 0.0119483
7 2 3 3 -0.0000000
7 2 4 0 -0.0000000
7 2 4 1 0.0000000
7 2 4 2 -0.0121821
7 2 4 3 -0.0000000
7 2 4 4 -0.0000000
7 2 5 0 0.0000000
7 2 5 1 -0.0000000
7 2 5 2 0.0046938
7 2 5 3 0.0000000
7 2 5 4 0.0000000
7 2 5 5 0.0000000
7 2 6 0 -0.0069619
7 2 6 1 0.0012866
7 2 6 2 0.0000000
7 2 6 3 -0.0100434
7 2 6 4 -0.0184333
7 2 6 5 -0.0126235
7 2 6 6 -0.0000000
7 2 7 0 -0.0000000
7 2 7 1 0.0000000
7 2 7 2 0.0185828
7 2 7 3 -0.0000000
7 2 7 4 -0.0000000
7 2 7 5 0.0000000
7 2 7 6 -0.0158611
7 2 7 7 0.0000000
7 3 0 0 0.0079414
7 3 1 0 -0.0044076
7 3 1 1 -0.0265868
7 3 2 0 -0.0000000
7 3 2 1 0.0000000
7 3 2 2 -0.0006179
7 3 3 0 0.0027217
7 3 3 1 0.0030309
7 3 3 2 -0.0000000
7 3 3 3 0.0121857
7 3 4 0 -0.0004836
7 3 4 1 -0.0092151
7 3 4 2 -0.0000000
7 3 4 3 0.0159115
7 3 4 4 -0.0158201
7 3 5 0 -0.0080336
7 3 5 1 -0.0022136
7 3 5 2 0.0000000
7 3 5 3 -0.0183891
7 3 5 4 -0.0020042
7 3 5 5 -0.0231978
7 3 6 0 -0.0000000
7 3 6 1 -0.0000000
7 3 6 2 -0.0158512
7 3 6 3 -0.0000000
7 3 6 4 -0.0000000
7 3 6 5 -0.0000000
7 3 6 6 0.0045357
7 3 7 0 0.0025849
7 3 7 1 -0.0045931
7 3 7 2 -0.0000000
7 3 7 3 0.0264839
7 3 7 4 -0.0010407
7 3 7 5 -0.0005545
7 3 7 6 -0.0000000
7 3 7 7 -0.0054929
7 4 0 0 0.0072798
7 4 1 0 -0.0021054
7 4 1 1 -0.0070496
7 4 2 0 -0.0000000
7 4 2 1 -0.0000000
7 4 2 2 -0.0035121
7 4 3 0 -0.0001138
7 4 3 1 -0.0013055
7 4 3 2 -0.0000000
7 4 3 3 0.0051578
7 4 4 0 -0.0008006
7 4 4 1 0.0007293
7 4 4 2 -0.0000000
7 4 4 3 0.0021342
7 4 4 4 -0.0044364
7 4 5 0 -0.0031230
7 4 5 1 -0.0020552
7 4 5 2 0.0000000
7 4 5 3 -0.0045415
7 4 5 4 -0.0051757
7 4 5 5 -0.0032806
7 4 6 0 -0.0000000
7 4 6 1 -0.0000000
7 4 6 2 -0.0058926
7 4 6 3 -0.0000000
7 4 6 4 -0.0000000
7 4 6 5 -0.0000000
7 4 6 6 -0.0001511
7 4 7 0 0.0014589
7 4 7 1 0.0068692
7 4 7 2 -0.0000000
7 4 7 3 -0.0010407
7 4 7 4 0.0174530
7 4 7 5 -0.0144834
7 4 7 6 -0.0000000
7 4 7 7 0.0060563
7 5 0 0 0.0108671
7 5 1 0 -0.0011230
7 5 1 1 0.0023873
7 5 2 0 0.0000000
7 5 2 1 0.0000000
7 5 2 2 0.0050486
7 5 3 0 -0.0078333
7 5 3 1 -0.0185123
7 5 3 2 0.0000000
7 5 3 3 -0.0159315
7 5 4 0 -0.0030510
7 5 4 1 0.0003326
7 5 4 2 -0.0000000
7 5 4 3 -0.0146882
7 5 4 4 -0.0012260
7 5 5 0 0.0029595
7 5 5 1 0.0008794
7 5 5 2 0.0000000
7 5 5 3 -0.0072691
7 5 5 4 -0.0042835
7 5 5 5 0.0153589
7 5 6 0 -0.0000000
7 5 6 1 -0.0000000
7 5 6 2 -0.0035526
7 5 6 3 -0.0000000
7 5 6 4 -0.0000000
7 5 6 5 0.0000000
7 5 6 6 0.0019904
7 5 7 0 0.0031638
7 5 7 1 0.0005309
7 5 7 2 0.0000000
7 5 7 3 -0.0005545
7 5 7 4 -0.0144834
7 5 7 5 0.0330685
7 5 7 6 0.0000000
7 5 7 7 0.0182845
7 6 0 0 0.0000000
7 6 1 0 -0.0000000
7 6 1 1 0.0000000
7 6 2 0 -0.0055692
7 6 2 1 -0.0123005
7 6 2 2 0.0000000
7 6 3 0 -0.0000000
7 6 3 1 -0.0000000
7 6 3 2 -0.0112074
7 6 3 3 -0.0000000
7 6 4 0 -0.0000000
7 6 4 1 0.0000000
7 6 4 2 0.0007017
7 6 4 3 -0.0000000
7 6 4 4 0.0000000
7 6 5 0 -0.0000000
7 6 5 1 -0.0000000
7 6 5 2 -0.0064643
7 6 5 3 -0.0000000
7 6 5 4 -0.0000000
7 6 5 5 0.0000000
7 6 6 0 0.0077012
7 6 6 1 0.0054997
7 6 6 2 -0.0000000
7 6 6 3 0.0119688
7 6 6 4 0.0071429
7 6 6 5 0.0063839
7 6 6 6 0.0000000
7 6 7 0 0.0000000
7 6 7 1 -0.0000000
7 6 7 2 -0.0158611
7 6 7 3 -0.0000000
7 6 7 4 -0.0000000
7 6 7 5 0.0000000
7 6 7 6 0.0195239
7 6 7 7 0.0000000
7 7 0 0 0.5615259
7 7 1 0 -0.0065709
7 7 1 1 0.4326163
7 7 2 0 0.0000000
7 7 2 1 0.0000000
7 7 2 2 0.4043198
7 7 3 0 -0.0083476
7 7 3 1 -0.0400220
7 7 3 2 -0.0000000
7 7 3 3 0.4236325
7 7 4 0 -0.0052214
7 7 4 1 0.0519369
7 7 4 2 -0.0000000
7 7 4 3 -0.0196424
7 7 4 4 0.4112830
7 7 5 0 -0.0047640
7 7 5 1 0.0140391
7 7 5 2 0.0000000
7 7 5 3 0.0061411
7 7 5 4 -0.0486904
7 7 5 5 0.4832398
7 7 6 0 -0.0000000
7 7 6 1 0.0000000
7 7 6 2 -0.0464834
7 7 6 3 0.0000000
7 7 6 4 -0.0000000
7 7 6 5 0.0000000
7 7 6 6 0.4111781
7 7 7 0 0.0059803
7 7 7 1 -0.0021584
7 7 7 2 0.0000000
7 7 7 3 -0.0054929
7 7 7 4 0.0060563
7 7 7 5 0.0182845
7 7 7 6 0.0000000
7 7 7 7 0.5146546
8 0 0 0 -0.0000000
8 0 1 0 -0.0000000
8 0 1 1 -0.0000000
8 0 2 0 -0.0002488
8 0 2 1 -0.0003157
8 0 2 2 0.0000000
8 0 3 0 -0.0000000
8 0 3 1 -0.0000000
8 0 3 2 -0.0001742
8 0 3 3 -0.0000000
8 0 4 0 0.0000000
8 0 4 1 0.0000000
8 0 4 2 -0.0001013
8 0 4 3 0.0000000
8 0 4 4 0.0000000
8 0 5 0 -0.0000000
8 0 5 1 -0.0000000
8 0 5 2 -0.0002928
8 0 5 3 -0.0000000
8 0 5 4 -0.0000000
8 0 5 5 -0.0000000
8 0 6 0 0.0003389
8 0 6 1 0.0002489
8 0 6 2 -0.0000000
8 0 6 3 0.0001879
8 0 6 4 0.0000442
8 0 6 5 0.0002030
