NMONOMER	1
NELEC	8
ENUC	7.676927
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-23.523892
ENERGIES
-6.852823
-0.470833
-0.043585
0.162542
0.898838
1.369627
1.442917
849736.741449
965066.397872
996478.092089
1070620.517141
1118094.226455

OEI
-13.549379	
6 0 3 3 -0.0053600
6 0 4 0 0.0257280
6 0 4 1 0.0011751
6 0 4 2 -0.0000000
6 0 4 3 -0.0233425
6 0 4 4 -0.0227353
6 0 5 0 0.0000000
6 0 5 1 0.0000000
6 0 5 2 0.0145432
6 0 5 3 -0.0000000
6 0 5 4 -0.0000000
6 0 5 5 -0.0213143
6 0 6 0 0.0884805
6 0 6 1 0.0017660
6 0 6 2 -0.0000000
6 0 6 3 -0.0024175
6 0 6 4 0.0004983
6 0 6 5 -0.0000000
6 0 6 6 -0.0034526
6 1 0 0 -0.2253121
6 1 1 0 0.0000489
6 1 1 1 -0.0241680
6 1 2 0 -0.0000000
6 1 2 1 -0.0000000
6 1 2 2 -0.0322312
6 1 3 0 0.0071379
6 1 3 1 0.0196357
6 1 3 2 0.0000000
6 1 3 3 -0.0345994
6 1 4 0 0.0100827
6 1 4 1 -0.0027020
6 1 4 2 -0.0000000
6 1 4 3 -0.0585503
6 1 4 4 -0.0554184
6 1 5 0 0.0000000
6 1 5 1 0.0000000
6 1 5 2 0.0599982
6 1 5 3 0.0000000
6 1 5 4 -0.0000000
6 1 5 5 -0.0686349
6 1 6 0 0.0017660
6 1 6 1 0.0782208
6 1 6 2 -0.0000000
6 1 6 3 -0.0109447
6 1 6 4 0.0101835
6 1 6 5 -0.0000000
6 1 6 6 -0.1248986
6 2 0 0 0.0000000
6 2 1 0 0.0000000
6 2 1 1 -0.0000000
6 2 2 0 0.0051674
6 2 2 1 0.0176955
6 2 2 2 0.0000000
6 2 3 0 -0.0000000
6 2 3 1 -0.0000000
6 2 3 2 -0.0204325
6 2 3 3 0.0000000
6 2 4 0 -0.0000000
6 2 4 1 -0.0000000
6 2 4 2 0.0249341
6 2 4 3 0.0000000
6 2 4 4 0.0000000
6 2 5 0 -0.0076512
6 2 5 1 0.0265568
6 2 5 2 -0.0000000
6 2 5 3 -0.0259052
6 2 5 4 0.0199864
6 2 5 5 0.0000000
6 2 6 0 -0.0000000
6 2 6 1 -0.0000000
6 2 6 2 0.0332516
6 2 6 3 0.0000000
6 2 6 4 -0.0000000
6 2 6 5 0.0040827
6 2 6 6 0.0000000
6 3 0 0 0.0683280
6 3 1 0 -0.0000740
6 3 1 1 0.0289505
6 3 2 0 0.0000000
6 3 2 1 0.0000000
6 3 2 2 -0.0037234
6 3 3 0 0.0009884
6 3 3 1 0.0159836
6 3 3 2 -0.0000000
6 3 3 3 0.0271852
6 3 4 0 -0.0001972
6 3 4 1 -0.0299727
6 3 4 2 0.0000000
6 3 4 3 0.0087856
6 3 4 4 0.0161615
6 3 5 0 -0.0000000
6 3 5 1 0.0000000
6 3 5 2 -0.0201705
6 3 5 3 -0.0000000
6 3 5 4 0.0000000
6 3 5 5 0.0030950
6 3 6 0 -0.0024175
6 3 6 1 -0.0109447
6 3 6 2 0.0000000
6 3 6 3 0.0348295
6 3 6 4 0.0023779
6 3 6 5 0.0000000
6 3 6 6 0.0265056
6 4 0 0 -0.0312218
6 4 1 0 -0.0012495
6 4 1 1 -0.0123063
6 4 2 0 0.0000000
6 4 2 1 -0.0000000
6 4 2 2 0.0180987
6 4 3 0 0.0044222
6 4 3 1 -0.0374648
6 4 3 2 0.0000000
6 4 3 3 -0.0011342
6 4 4 0 0.0056316
6 4 4 1 0.0125156
6 4 4 2 -0.0000000
6 4 4 3 -0.0060730
6 4 4 4 -0.0093160
6 4 5 0 -0.0000000
6 4 5 1 -0.0000000
6 4 5 2 0.0300835
6 4 5 3 0.0000000
6 4 5 4 -0.0000000
6 4 5 5 -0.0036452
6 4 6 0 0.0004983
6 4 6 1 0.0101835
6 4 6 2 -0.0000000
6 4 6 3 0.0023779
6 4 6 4 0.0416310
6 4 6 5 -0.0000000
6 4 6 6 -0.0209153
6 5 0 0 0.0000000
6 5 1 0 -0.0000000
6 5 1 1 0.0000000
6 5 2 0 -0.0094181
6 5 2 1 0.0644293
6 5 2 2 -0.0000000
6 5 3 0 -0.0000000
6 5 3 1 0.0000000
6 5 3 2 -0.0638588
6 5 3 3 0.0000000
